职位名称,薪资,公司,行业,公司规模,融资阶段,城市,经验要求,学历要求,工作性质,职位描述,薪资下限,薪资上限,薪资中值,主行业,岗位类别
数据分析,15k-20k,杭州沃呗科技,"电子商务,移动互联网",15-50人,未融资,杭州,经验3-5年,大专及以上,全职,"职位描述
        岗位职责：
1、利用Hadoop生态圈Hadoop-hive架构，对海量日志数据进行分析。
2、搭建和维护hadoop-Hive开发环境，利用Python等开发语言，统计和分析数据。

任职要求：
1. 三年以上相关领域工作经
2、精通Python、shell、java、C 至少一门编程语言，了解Linux/Unix平台。
3、擅长hadoop生态系统各个组件的运用和调优，  如Spark、hadoop、hbase、hive、flume、sqoop等任意3项以上, 有相关参数调优, 性能优化等有实际经验。
4、实际处理过各种集群在线版本升级, 数据迁移, 集群扩容, 稳定性监控等工作。 
5、有openstack经验者优先。
6、有学习新技术的能力和不怕挑战的精神。

下面我们说一些实在的：
每月提前拿到当月工资，这种感觉真的很爽歪歪！
年底双薪，五险一金，公积金基数根据工资来！买房贷款不愁~
工作日每天有餐补，一年1~2次加薪机会；
7天带薪病假，5-15天年假，世界那么大，随便去看看；
弹性工作时间，再也不用因为地铁故障，公交堵车而迟到扣钱；
充足的团建经费，撸串，K歌，烤全羊，massage，想想有点小激动呢~
一年一次国内外旅游，说不定还能带个妹子回来~去年就去了越南~",15,20,17.5,电子商务,数据分析
数据分析,8k-15k,广东好胎屋,O2O,150-500人,A轮,广州,经验3-5年,大专及以上,全职,"职位描述
        岗位职责：
1、关注好胎屋、车云B2B各项业务数据，并对其进行整理汇总，定期提交统计报告，密切关注各项业务数据的异常情况；
2、为营销活动、运营行为等需求提供数据支持、及时准确完成各项相关数据结论；
3、对项目数据库进行分类管理，按指令对数据进行科学分配，支持后续业务处理和统计需求；
4、根据好胎屋业务建立完善数据监控体系，协助运营绩效和数据报表分析。


任职要求：

1、3年以上数据分析经验，有汽车后市场、电子商务等行业相关分析工作优先；
2、熟练掌握各种数据分析软件（如excel、SPSS、Clementine等），并具备较强的数据建模和撰写分析报告能力；
3、熟悉常用的数据库语言（Oracle，SQL）；
4、善于产品设计，对产品分析、数据分析、竞争分析等有独特的见解； 
5、吃苦耐劳，能承受工作压力。",8,15,11.5,O2O,数据分析
数据分析,8k-16k,in,"电子商务,广告营销",150-500人,B轮,杭州,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
1.全面理解业务和数据,可通过数据分析解答和帮助解决的业务问题或流程、系统缺陷；
2.设计和实施数据分析项目,通过统计、数据挖掘建模等数据分析手段分析数据,并将分析过程整理成分析报告,将分析成果和应用建议整理成业务类汇报材料,完成相应沟通和汇报工作。

岗位要求：
1.大学本科或以上学历,计算机科学、数学、统计等相关专业；
2.1年以上数据分析、BI领域工作经验,独立完成数据分析项目；
3.熟悉一种数据分析工具,sql/R/SAS/SPSS等；
4.具有良好的商业敏感度和优秀的数据分析技能,能够开发创新且实用的分析方法以解决复杂的业务问题；
5.具备高度的责任心及团队精神,愿意接受挑战性的工作,能够及时高效完成任务。",8,16,12.0,电子商务,数据分析
数据分析,8k-16k,蓝金灵,"金融,移动互联网",15-50人,A轮,北京,经验1-3年,本科及以上,全职,"职位描述
        一、岗位职责：
1、负责设计和完善移动信贷产品的贷前审核及贷后监控风控模型.运用量化分析,识别和度量产品业务存在的风险；2、根据客户的互联网行为表现,结合客户的属性及行为数据,建立风险和信用的计量模型;设计并不断完善产品的贷前审核中的准入评分卡和贷后管理中的行为评分卡；
3、参与数据仓库的搭建，有效地抽取、综合、集成和挖掘已有数据库的数据资源 ；
4、对电商的历史交易数据进行分析和挖掘，写分析报告；
5、在现有的数据上进行变量探索，变量之间的相关性分析，建立违约概率模型。

二、岗位要求：1、要求至少熟悉一种以上的主流ETL工具；
2、对数据仓库系统架构具有良好的认识，熟悉数据仓库相关技术；
3、能使用至少一种统计分析或数据挖掘工具（例如R、Python、Matlab等）编程，学过SQL，习惯Linux工作环境；
4、理解常用的分类、聚类、时序的基本算法；
5、对数据有良好的敏感性，参与过完整的数据分析项目者优先；
6、具有互联网创业精神,优秀的沟通与团队协作能力,勇于探索与坚持创新。",8,16,12.0,金融,数据分析
数据分析,5k-8k,亿达信息技术有限公司,"移动互联网,招聘",2000人以上,上市公司,大连,经验1-3年,大专及以上,全职,"职位描述
        岗位职责：
负责游戏业务的数据统计和分析工作；
岗位要求：
1.本科以上，工作经验2年以上。2.能够熟练的使用SQL语句，了解SQL执行计划及SQL调优。3.能够进行简单的C++编程。4.良好的客户服务意识，工作积极主动。5.良好的理解和沟通能力，可承担高压力。6.有数据分析方面的背景优先",5,8,6.5,移动互联网,数据分析
数据分析,6k-10k,妙资财富,金融,50-150人,不需要融资,杭州,经验1-3年,本科及以上,全职,"职位描述
        主要职责：
1.负责有关市场运营等重要数据的监控，跟踪日、周、月、季度数据变化，监测市场运行方向的正确性。
2.一年以上数据分析经验，能够挖掘直接和间接的行业数据。
3.收集竞争对手数据，作出分析及策略建议。
岗位要求：
1.大专以上，计算机、市场营销、电子商务、数学与应用数学等相关专业优先；
2.能熟练操作Excel等办公软件；
3.对常用数据分析算法有一定的了解；
4.一年以上数据分析经验，能够挖掘直接和间接的行业数据
5.具有专业的业务研究、分析能力，根据业务数据变化及时发现问题的能力；
6.较强的工作主动性及抗压能力，工作细致耐心",6,10,8.0,金融,数据分析
数据分析,6k-10k,拉卡拉商务服务有限公司,"电子商务,金融",500-2000人,不需要融资,上海,经验1-3年,大专及以上,全职,"职位描述
        岗位职责：1、规范整理经营相关报表数据库，制定分析报表模板；2、对分公司业务数据进行数据分析、汇总；3、分析指定信息数据需求，支持项目决策分析并协助相应评估；4、每日、周、月度提供各客流后台的分析报表；5、运用统计数据，从分析过程中发现问题，提出改进或建议；6、上级交办的其他工作。任职要求：1、大专及以上的学历；2、熟悉Word、Excel、PowerPoint等各项办公软件操作，具备较强的数据分析能力；3、具有较强的逻辑分析能力，组织能力；4、做事负责、高效、细致。",6,10,8.0,电子商务,数据分析
数据分析,10k-20k,Klook 客路旅行,"移动互联网,旅游",50-150人,A轮,深圳,经验1-3年,本科及以上,全职,"职位描述
        岗位职责

 负责收集和分析用户消费行为数据；
 负责收集和分析交易相关风险数据；
 负责建立和持续优化风险模型；
 定期输出报告；



岗位要求

 2年以上数据统计分析、数据挖掘等相关工作经验，有金融交易数据分析经验者优先；
 熟悉数据建模知识、数据挖掘理论，掌握数据分析体系方法；
 精通SQL脚本编写；精通Excel；
 工作细致、责任心强，具备很强的逻辑分析能力、学习能力及理解能力，有良好的沟通能力、高度的责任心和团队合作精神;",10,20,15.0,移动互联网,数据分析
数据分析,20k-30k,1号店,移动互联网,2000人以上,D轮及以上,上海,经验5-10年,硕士及以上,全职,"职位描述
        岗位职责：
1、     对业务部门进行数据需求支持，与BI开发团队对接，对需求做梳理、分发和反馈。
2、     优化和完善所属方向的数据分析体系，包括KPI指标体系、报表体系、专题分析体系。
3、     参与各部门的业务讨论会，挖掘分析主题，开展数据分析工作，基于数据分析成果，为管理层和业务部门提供商业策略分析和业务优化建议。
 
岗位要求：
1、计算机，统计，信息，数学等相关专业硕士及以上学历；
2、扎实的数理统计基础，了解常见的数据挖掘算法；
3、熟练使用SQL，熟悉至少一种数据库软件，如：oracle、mysql、sql server等，熟悉hadoop者优先；
4、熟悉相关数据分析和挖掘工具，如：R SAS clementine；
5、善于沟通和逻辑表达，良好的团队合作意识和高度的责任心；
 ",20,30,25.0,移动互联网,数据分析
数据分析,20k-25k,旺资,金融,50-150人,不需要融资,上海,经验3-5年,本科及以上,全职,"职位描述
        数据分析师
简介：
作为风控团队的一员，工作的主要职责是三个部分，风险报告，风险控制策略模型，工具端APP信息处理。风控报告用户衡量整个公司资产质量、经营情况，这是公司决策的重要数据来源。风险控制策略模型，持续更新研发新的风险控制模型，使得更有效更精准。我们为渠道人员提供工具APP，监控并分析使用数据，辅助运营和后续产品开发。
 
主要工作：
1.      清洗整理数据
2.      分析公司运营数据，量化经营情况
3.      分析消费终端用户情况，寻找出有效的数据维度，提出新的方案。收集数据、设计模型并验证方案，针对不同的消费终端客户群设计并实施新的算法
4.      分析渠道终端用户使用情况，针对用户使用情况数据，识别出趋势或者模式，以推动下一步的改进
要求：
1.      数学、统计学、计算机、模式识别等专业的硕士
2.      三年以上相关工作经验，金融行业，咨询行业，数据分析行业
3.      扎实的数学基础和丰富的数据挖掘和机器学习经验，Regression, RPA, NNs, Cluster Analysis, Markov chains
4.      Python / R
5.      良好结构化(SQL)数据库知识、经验
6.      独立解决复杂问题的能力，学术研究经验
7.      良好的沟通能力，注重细节",20,25,22.5,金融,数据分析
