职位名称,薪资,公司,行业,公司规模,融资阶段,城市,经验要求,学历要求,工作性质,职位描述,薪资下限,薪资上限,薪资中值,主行业,岗位类别
手游数据分析专员,4k-8k,君海游戏,移动互联网,50-150人,A轮,广州,经验不限,本科及以上,全职,"职位描述
        岗位描述： 
1、监控数据，实时发现并解决广告投放中出现的问题； 
2、数据分析，分析市场投放效果并提出有建设性的改进意见； 
3、优化并不断改进市场广告流程以及后台等工具。 

岗位要求： 
1、本科及以上学历，数学或计算机相关专业优先； 
2、对游戏有一定了解，热爱互联网或游戏行业，致力于在游戏行业发展；
3、熟练运用word、excel、ppt等office办公软件；
4、内敛细心，勤奋踏实，责任心强，具有良好的团队合作精神。
5、能承受强大工作压力，适应游戏公司的快节奏，适度加班。

欢迎励志在游戏公司发展，并且靠自己努力闯出一片新天地的年轻人，加入我们！",4,8,6.0,移动互联网,数据分析
数据分析专员,5k-7k,爱博恩国际妇产中心,医疗健康,150-500人,不需要融资,广州,经验1-3年,大专及以上,全职,"职位描述
        岗位职责：
1、对活动推广效果进行跟踪、评估，并及时提出改进措施；
2、持续挖掘合适的营销推广工具，做好推广组合，让推广的投入产出比最优；
3、熟练使用数据分析工具，按要求制定分析报表，透过数据报表反映运营现状并提出优化建议。

任职资格：
1、全日制本科以上学历，统计学、应用数学、计算机相关专业，具有数理统计，经济学，数据库原理相关知识；
2、能熟练使用EXCEL、SPSS、QUANVERT、SAS等统计软件；
3、对数据结构和算法设计有较为深刻的理解，能够提出读者数据管理、整合建议；
4、熟悉信息检索基本概念，有文本挖掘、中文信息处理能力；
5、优秀的学习能力、自我驱动力以及沟通协调能力；
6、逻辑清晰，思路灵活，有数据分析工作经验者优先。",5,7,6.0,医疗健康,数据分析
金融数据分析专员,4k-5k,久彩科技,移动互联网,15-50人,不需要融资,广州,经验不限,大专及以上,全职,"职位描述
        岗位要求：
1、大专以上学历，财经、金融学、经济学等专业；
2、新闻敏感性强，具有一定的财经（基金、期货、黄金等金融行业）知识（有期货从业资格证的优先）；
3、熟练运用dreamweaver，photoshop等网页编辑软件，具有较强的专题制作能力；
4、文字功底扎实，对现货行情分析有独到的看法，且对现货具备一定了解；

注：面试时请携带自我撰写的经济类文章或评论

工作职责：
1、负责微信公众号日常运营及推广，根据行情发布各种金融分析报告内容；
2、密切跟踪市场财经热点，制作财经专题；
3、撰写新闻评论、新闻摘要。
4、对微信粉丝的网络行为进行分析与总结，不断改进工作方法，提高工作效率。",4,5,4.5,移动互联网,数据分析
数据分析高级工程师,8k-15k,健客网,"电子商务,医疗健康",500-2000人,A轮,广州,经验3-5年,本科及以上,全职,"职位描述
        岗位职责：
1.运用机器学习、数据挖掘技术判别海量文件的安全性，提高文件识别的准确率和自动化程度；
2.通过对数据的敏锐洞察，发觉文件本身特征及文件间的潜在关联，判别文件的安全性；
3.大规模机器学习算法研究及并行化实现，为各种大规模机器学习应用提供稳定服务；
4.关注统计学习和安全领域前沿技术。
岗位要求：
1. 计算机、应用数学、模式识别、人工智能、统计、运筹学等专业本科以上学历，两年以上海量数据挖掘工作经验；
2. 对机器学习、数据挖掘算法及其在互联网行业的应用,有比较全面的认识和理解,至少对两类以上算法有深入研究；
3. 有大规模分布式计算平台的使用和并行计算开发经验；
4. 熟悉Linux/UNIX系统, 熟悉Linux/UNIX平台的C/C++/Shell/php/python编程；
5. 严密的数学思维、突出的分析和归纳能力、优秀的沟通表达能力；
6. 较好的英语读写能力；
7. 熟悉企业运作流程，对CRM和ERP有一定了解。",8,15,11.5,电子商务,数据工程
商务专员（数据分析）,5k-10k,玄武科技,"移动互联网,招聘",500-2000人,上市公司,广州,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
1.负责两大主营业务前期协助，根据用户需求提供增值电信业务申办工作；
2.负责两大主营业务月度数据收集及分析，并针对各类问题提出解决方案和改善现有制度流程，并每月制作月度总结分析报表；
3.作为项目协调人，协助跨部门沟通合作，确保项目顺利进行；
4.管理部门合同、部门各类型报表台帐，做好部门CRM管理；
5.完成上级交代的其他工作。
任职资格
1、大学本科及以上学历，市场营销、广告、企业管理、公关类专业的优先录取；有互联网公司及公关公司工作背景者优先； 
2、思维清晰，较强的文字处理能力，具备一定的项目策划方案的撰写及陈述提案的能力； 
3、熟练使用Office软件，尤其是photoshop软件； 
4、性格开朗、有进取心；具备良好的团队配合能力、组织协调能力和沟通能力。",5,10,7.5,移动互联网,数据分析
高级数据分析经理,30k-40k,唯品会,电子商务,2000人以上,上市公司,广州,经验5-10年,本科及以上,全职,"职位描述
        职责：
1）构建竞争情报分析体系，为唯品国际业务部的周/月例会提供竞争情报
2）负责跨境电商行业相关的专题研究，完成标杆、竞争、外部环境的分析研究,测算模型的搭建，支持公司战略/投资决策
3）完成公司最高层布置的竞争情报任务，管理竞争情报团队
 
能力要求：
1）具备逻辑推理能力、创造性的思维、擅长数字分析以及解决复杂问题的能力
2）5年以上大型企业战略规划或咨询管理工作经验，有电商或互联网竞争情报工作经验优先；
3）有很强的文字和口头表达能力，较强的团队领导能力和激励、沟通、协调能力；
4）本科以上学历，28-40岁",30,40,35.0,电子商务,数据分析
行业分析师（医疗行业数据...,10k-18k,名医传世,移动互联网,150-500人,B轮,广州,经验3-5年,本科及以上,全职,"职位描述
        岗位职责：
1、 能够分析研究医疗行业领域相关的宏观政策及行业发展趋势，进行行业信息、数据收集，并撰写相关分析报告；
2、研究市场以了解客户需求、竞争状况及市场容量，目标是发现创新或改进产品的潜在机会，为市场工作、产品研发提供导向；
3、能与数据公司对接，并整合与公司相关的内外部数据。
任职资格：
1、有项目研究和数据分析经验，2年以上医疗行业分析经验；
2、有较强的市场感知能力，敏锐地把握市场动态、市场方向的能力；
3、有医疗行业背景，对医疗数据敏感；
4、研究生以上学历优先。

名医传世是医院培训整体解决方案的提供商。
我们汇聚全国顶级名医，打造高端医学视频。
我们帮助医院岗位培训体系标准化、信息化。
我们的目标是：
提升基层医疗服务水平，为人类的健康造福！

&lt;&lt;&lt;&lt;&lt;————加入我们吧，妥妥儿的————&gt;&gt;&gt;&gt;&gt;
园区办公---绿色天然氧吧，森林式办公让你心情舒畅~
五天双休---摒弃不规律的调休生活，周末不耍更待何时哇
带薪年假---拿着薪资去happy，任性如我=w=
绩效奖金---能者多得，快爆发你的小宇宙~
岗位晋升---晋升和调薪，自己的天花板自己来决定( •̀ ω •́ )y
扁平管理---我们只看效率，能者说了算！
下午茶呢---每周水果雪糕还有糖水哦balabala简直选择困难：3
员工活动---组队羽毛球踢毽子唱k徒步浪~
生活补贴---工作餐餐补和你的各种通讯费应酬费~报报报！
犹豫啥呢，我们在鸟语花香里等你(●ˇ∀ˇ●)",10,18,14.0,移动互联网,数据分析
政策数据分析主管,10k-15k,PPmoney互联网金融平台,金融,500-2000人,上市公司,广州,经验1-3年,硕士及以上,全职,"职位描述
        岗位职责：1、制定消费信贷风险政策（审批及授信政策，贷后资产管理政策）；2、实施消费信贷风险政策、跟踪、分析政策效果；3、参与开发风险评分模型，实施模型并监测效果。任职要求：1、硕士学历，有经验者可接受本科学历；金融，经济学，数理统计专业优先；2、具备2-3年业务数据分析经验，具备较强的分析能力；3、金融行业量化风险管理工作经验优先；4、积极主动，良好的学习能力、沟通能力。",10,15,12.5,金融,数据分析
数据分析工程师,10k-20k,买好车,"移动互联网,电子商务",150-500人,A轮,杭州,经验3-5年,本科及以上,全职,"职位描述
        任职资格与要求： 
1.从事过具体的数据分析工作，3年以上的数据分析工作经验。
 2.熟练掌握某种报表工具或分析工具、在数据分析经验丰富。 
3.有BI、ETL方面工作经验。
 4.熟悉Linux操作系统，熟练一种脚本语言、SQL语言经验优先。 
5.良好的逻辑分析能力、沟通能力和文字表达能力。
6. 具备良好的数据需求采集、分析和数据模型设计能力。  

岗位职责： 
1.负责对远程传输回来的数据进行整理、挖掘及分析工作，撰写数据分析报告。 
2.负责参与数据平台接入数据需求的调研、分析及业务数据报表实现。
 3.对数据平台的各类接入数据进行分析，制定清洗、格转及标准化的规则。 
4.能够从业务出发，用统计学、数据分析及挖掘方法从数据中找到规律，并应用到具体业务中",10,20,15.0,移动互联网,数据工程
资深数据分析/挖掘工程师,20k-30k,蘑菇街,电子商务,500-2000人,D轮及以上,杭州,经验3-5年,本科及以上,全职,"职位描述
        1.能利用数据分析手段，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析，并通过分析潜在业务机会给出建议；
2.应用机器学习、文本挖掘等技术，对海量数据进行挖掘，发现其潜在关系，为公司运营决策、产品方向、销售策略提供数据支持及建议；
3.配合业务部门的项目给予数据支持，或负责及参与跨部门等大型项目的推进获得结果；
4.通过大数据挖掘用户群体行为和属性特征，帮助业务更好的理解客户；

职位要求
1.具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；
2.良好的数据敏感度,能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；
3.具备良好的抗压能力、沟通能力、逻辑思维能力，有独立开展分析研究项目经验；
4.数学、统计、计算机等相关专业优先；
5.具备良好的抗压能力、沟通能力、逻辑思维能力。",20,30,25.0,电子商务,算法/挖掘
业务数据分析,5k-8k,铜板街,移动互联网,150-500人,B轮,杭州,经验不限,硕士及以上,全职,"职位描述
        工作职责：1、负责互联网理财产品、用户行为、业务数据的日常运营分析，提供分析报告以及其他分析结果；
2、在充分了解互联网金融业务的基础上，利用数据挖掘的先进技术，优化现有分析方法；
3、承担复杂分析任务，充分发挥对数据的敏感性，给理财产品设计、理财产品资产负债管理、流动性管理、营销等提供分析支持；
4、负责财富管理侧数据价值的深度挖掘,提炼数据增值点,挖掘数据价值;

任职资格：
1、硕士及以上学历，工作年限不限，海外留学者经历优先；                                                        
2、计算机、统计学、数学、计量经济学、金融学等相关专业；                                                        
3、熟悉SAS、SPSS、R等统计分析软件；              
4、有互联网电子商务电子支付领域风险分析方面工作经验者优先；",5,8,6.5,移动互联网,数据分析
数据分析实习生,2k-4k,挖财,"移动互联网,金融",500-2000人,B轮,杭州,经验不限,本科及以上,实习,"职位描述
        工作职责：
1、搜集、挖掘、整理、统计各项日常业务运营数据指标；
2、在主管的指导下，对用户使用行为数据的分析和挖掘；

任职要求：
1、本科及以上学历，数学、计算机、数理统计或信息技术等专业方向；
2、熟练使用数据挖掘工具软件,如R语言,SAS/SPSS等；
3、熟悉mysql数据库，并具有一定的SQL功底；
3、具有较强的独立分析及判断能力，对数字非常敏感；
4、较强逻辑思维能力，较高水平的信息整合、文字加工能力。",2,4,3.0,移动互联网,数据分析
数据分析专员,8k-15k,贝贝网,电子商务,500-2000人,D轮及以上,杭州,经验3-5年,大专及以上,全职,"职位描述
        
岗位职责：
1、负责客服中心的各项数据分析，包括常规业务分析、用户行为分析、服务数据分析等；
2、撰写和汇总分析报告，为部门决策提供精准的数据支持与理论依据；
3、深入理解业务方向和需求，构建业务模型和解决方案，充分实现数据的商业价值；
4、基于历史数据建立分析模型挖掘数据内在的模式和规律，及时发现和分析其中隐含的变化和问题；
5、对日常业务运营数据监控，定期开展流量、转化率、流失率、用户价值等专题分析。

岗位要求：
1、熟练使用Excel、PPT、Visio等office软件，对运营过程中产生的数据进行收集，整理，统计，分析，形成各类统计报表；
2、了解常用数据库，如MySQL、Oracle，精通SQL，可独立编写SQL完成相应的数据提取；
3、掌握R/SAS/SPSS等分析工具，熟悉常用数据挖掘方法（相关分析、回归、决策树、聚类分析、关联分析等）；
4、能够处理用户海量数据，提炼、分析、归纳用户属性、行为等信息，挖掘用户行为特征，为运营管理提供依据；
5、有客服中心工作经验者优先；",8,15,11.5,电子商务,数据分析
数据分析工程师,10k-20k,杭州筑家易,电子商务,500-2000人,B轮,杭州,经验3-5年,本科及以上,全职,"职位描述
        岗位职责：
1、负责数据整理及分析工作，提交数据分析报告；

2、开展客户行为分析，通过数据分析对客户做出的相应的管理决策；

3、按业务需求进行专项分析和数据挖掘处理，为业务决策提供数据支持依据； 

4、在用户行为分析（用户画像、行为路径分析）、市场策略分析（关联分析、协同过滤）、热力图等方面做数据分析建模；

5、调研数据需求，进行数据分析主题、数据维度、分析指标等数据体系工作。

岗位要求： 
1、数学、统计学、计算机等相关专业本科及以上学历；

2、能够熟练使用SQL；具有较强的数据敏感度，逻辑分析能力和文档写作能力；

3、熟悉数理统计、数据分析、数据挖掘的方法,比如:决策树模型、聚类模型、回归模型等;精通至少一种数据分析/挖掘软件操作，如SAS，SPSS, R等；

4、熟练使用一种及以上脚本语言（如python、shell）者优先；

5、对数据驱动业务有深入理解，具备良好的沟通能力、团队精神和创新能力。",10,20,15.0,电子商务,数据工程
数据运营/数据分析,15k-30k,阿里巴巴,移动互联网,2000人以上,上市公司,杭州,经验3-5年,硕士及以上,全职,"职位描述
        如果你够真诚，够勇敢、够努力，够正义；如果你早已忍够了网络的黑恶势力，并且决定绝地反击，那么机会来了！无论你是捕快、判官，还是穿云箭、刀斧手，让我们给你一个超级擂台。

阿里巴巴集团安全部
让你尽情发挥挥洒才华和青春，做一个前无古人后无来者的网络安全卫士。

岗位描述
1.分析阿里巴巴平台业务运作模式及风险问题；
2.通过海量数据分析，提炼总结各种风险异常特征
3.建立各种风险的异常预警、实时监控、分析定位、策略建议，并指导风险策略落地的数据化运营体系，实现风险防控节点前置

岗位技能
1.熟悉相关数据挖掘算法，掌握主流数据分析方法
2.熟练运用SQL，掌握一种以上数据分析工具（R/SPSS/SAS等）
3.良好的数据敏感度，有扎实的基本功和良好的逻辑思维能力
4.较强的学习能力，创新能力及沟通能力。

其他
1",15,30,22.5,移动互联网,数据分析
数据分析主管,6k-10k,招财猫,金融,150-500人,A轮,杭州,经验3-5年,大专及以上,全职,"职位描述
        岗位描述：1、熟悉业务，收集整理业务数据，建立核心指标监控体系；
2、分析用户行为，善于归纳、跟踪用户行为进行数据分析和挖掘；
3、理解业务方向和战略，建立分析模型，为市场、运营、产品等方面提供决策支持；
4、维护基础数据的准确性和及时性，参与数据仓库体系的完善和产品设计。
5. 负责业务运营数据跟踪、分析并监控日常数据中出现的问题；
任职要求：1、统计学、数学、计算机等相关专业大专及以上学历；
2、熟悉Mysql或Oracle数据库,能运用SAS或SPSS等建模软件；
3、熟悉数理统计、数据分析、数据挖掘的方法，比如：聚类模型、回归模型等；
4、有使用R语言、Scala、Spark、Hadoop经验者优先；
5、对数据敏感，具备良好的沟通能力、团队精神和创新能力；
6、在互联网公司工作过，有相关数据分析经验者优先；
7、文字表达与语言沟通能力较强，能够承受较大工作压力。",6,10,8.0,金融,数据分析
风控数据分析专员（建模师）,6k-12k,有贝,"移动互联网,金融",50-150人,未融资,杭州,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
1.负责风控模型测试、分析与调整,配合项目组完成基础性的报告撰写和文档整理工作。
2.负责风控业务决策和规则引擎以及风控评分模型的配置。
3.建立和维护风控数据库，完成基础性的数据整理、数据分析工作。
4.完成领导交办的其他临时事项。
5. 根据公司业务需求，制作表格及完成相关数据分析工作报告（周报、月报等）。
任职要求：1、本科以上学历，有2年或以上的工作经验2、本科或以上理工科或经济学背景，数学、统计学、计算科学，计量经济学背景优先；3、至少了解一种编程语言SQL、SAS、R、VBA、C等；4、需要优秀的逻辑思维、数据敏感度高和一定的商业思维。
5.通过FRM考试优先
5.曾经参与过完整的数据整理、分析和建模工作优先。
福利多多：（1）年终奖、期权必须有。（2）五险一金必拿项，年假天数逐年增。（3）上班时间人性化：不必死磕朝九晚五，没有迟到早退的忧伤，每天7.5小时工作时间。（4）工作日提供早餐奶、午餐餐补和下午茶，呵护您的胃。（5）团队月度活动多，户外、旅游和唱k，吃喝玩乐都陪你；每周体育活动,员工互动更亲密。（6）休息时间大屏TV随意看，劳逸结合真的可以有。（7）快速的职业上升通道，每三个月就有一次晋升机会，有才你就放胆来。",6,12,9.0,移动互联网,数据分析
业务数据分析经理,10k-15k,丁香园,"移动互联网,电子商务",500-2000人,C轮,杭州,经验1-3年,本科及以上,全职,"职位描述
        1、负责公司 To B 业务数据分析，进行数据挖掘；
2、根据业务数据分析的结果，提出改进建议，并为业务决策提供数据支撑；
3、追踪业务动态，建立监测预警体系。

任职条件：
1、本科及以上学历，数学、统计等专业优先；
2、2年以上数据库分析、数据挖掘、数据统计等相关工作经验，有互联网行业数据分析经验者优先；
3、熟练使用R、SPSS等挖掘工具；
4、良好的分析报告书写能力；
5、工作细致，具备较强的学习能力及理解能力；具有优秀的沟通协调能力及开拓精神；具有高度的责任心和团队合作精神。

 ",10,15,12.5,移动互联网,数据分析
业务数据分析专家,40k-80k,徕木电子,"移动互联网,其他",2000人以上,不需要融资,杭州,经验不限,本科及以上,全职,"职位描述
        1、以持续提升客户体验为核心,   进行业务数据深度组合分析、挖掘、深度分析,分析潜在业务&amp;产品机会给出建议 
     2、理解业务&amp;产品方向和策略，为管理运营决策、产品方向提供数据分析及建议 
     3、与数据、产品团队等沟通，提升客户体验项目推进并获得结果1.   良好的数据敏感度,能从海量数据提炼核心结果 
     2. 熟悉电子商务平台客户服务流程或相关领域运营经验 
     3. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题 
     4. 有大型咨询公司或电商平台工作背景者优先考虑",40,80,60.0,移动互联网,数据分析
数据分析,5k-6k,客如云,"移动互联网,O2O",500-2000人,B轮,北京,经验1年以下,本科及以上,全职,"职位描述
        岗位职责：
1、定时收集各部门运营数据；
2、通过数据分析公司整体运营情况；
3、每月定期发布各项关键数据趋势，为公司决策提供依据；
4、规范公司数据统计口径，优化数据报表体系。
任职资格：
1、统招本科学历，1年左右数据分析工作经验；
2、数据思维清晰，逻辑能力强，精通excel数据功能使用；
3、学习能力强，对数据敏感，责任心强、讲求效率、乐于接受挑战。",5,6,5.5,移动互联网,数据分析
数据分析,9k-18k,酷云互动,"数据服务,广告营销",150-500人,B轮,北京,经验1-3年,本科及以上,全职,"职位描述
         
岗位职责：1﹜ 原始数据处理（如日志数据的数据信息导出、分类、联接、分析等）2﹜ 大数据可视化分析（利用数据可视化软件完成）3﹜ 程序化提高数据处理速度（编写简单程序解决数据格式、分类等种种问题，可以快速自动化生成Excel\PPT文件）4﹜ 数据常规分析报告（按项目需求完成分析报告）
 
任职资格：1﹜ 逻辑强，对数据敏感2﹜ 跨数据库联接：联接来自诸如 SQL Server 和 Oracle 等不同数据源的数据。可以构建集成数据源可视化分析。3﹜ 熟练应用市场中可视化分析软件中的一种或多种。4﹜ 熟悉NOSQL 数据库，能使用Java或其他编程语言完成I/O、文本、Excel/PPT文档的处理5﹜ 了解数据结构与算法的原理及应用工具，了解分布式开发框架 (Hadoop Spark,Storm,Kafka)等",9,18,13.5,数据服务,数据分析
数据分析,6k-10k,人人车,O2O,2000人以上,C轮,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位描述：
1、负责业务数据的提取、处理及分析工作，为公司业务部门等提供数据支持；
2、根据数据分析业务趋势，挖掘业务规律和问题，给出专业结论与建议；
3、产出高质量的分析报告，并组织跨部门协调沟通，推进各业务环节的改进和完善；
4、协助其他相关部门完成必要的数据信息统计。


任职资格：
1、对数据敏感，具有优秀的数据处理能力，具有良好的学习能力；
2、条理清晰，有良好的表达能力及沟通能力，吃苦耐劳，热爱工作；
3、熟知行业动态，熟练掌握各种统计方法，熟练数据统计软件，能很好运用excel等办公软件；
4、责任心强，良好的团队协作能力、服务意识及协调能力。",6,10,8.0,O2O,数据分析
数据分析,3k-5k,浙江天搜科技股份有限公司,移动互联网,500-2000人,上市公司,杭州,经验1年以下,大专及以上,全职,"职位描述
        一、岗位职责
    1、通过搜索引擎，对确定的关键词，进行确定范围内的信息记录。
    2、对统计的信息，进行数据的分析，形成专项的数据报告。频率为：每周、每月
    3、根据其他部门的需求，提供相对应的数据统计报告。
    4、依托统计数据，协助部门领导，实行对相应小组的考评。
二、岗位要求
    1、熟练使用Excel、Word、Ppt等办公软件
    2、对数据统计、表格制作有相关经验
    3、品德优良，稳定性强",3,5,4.0,移动互联网,数据分析
数据分析,8k-10k,合众财险,移动互联网,150-500人,不需要融资,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：1、负责网电渠道客户数据支持管理工作, 整合公司内部名单资源2、根据日常数据使用情况，定期测算数据转化率，为数据采集渠道提供建议3、协助客户关系管理系统规划和建设，对客群开展专题分析4、撰写数据分析报告，为运营决策、产品推广提供数据支持5、领导安排的其他工作任职要求：1、统计专业、应用数学专业，本科以上学历，有一年数据统计经验2、熟悉统计方法和数据模型，能够独立解决工作的实际问题3、熟练使用EXCEL和SQL语言，掌握至少一种统计软件(SPSS、SAS、R等)4、具有较强的计划、组织、协调能力，良好的团队合作精神",8,10,9.0,移动互联网,数据分析
数据分析,8k-10k,春播,电子商务,150-500人,不需要融资,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
1.     移动端、PC端运营数据的监控、分析，以数据的角度辅助优化卖场运营工作；
2.     在基础数据之上，依托相关工具，创建、完善运营部日常监控仪表盘，简省运营的基础数据整理工作；
3.     根据公司发展及产品迭代情况，收集、整理运营部门新的数据需求，接口BI部门，跟进至需求实现并验证；
4.     了解网站日常运营工作，有效洞察运营（业务）问题、机会和瓶颈；
5.     针对异常数据进行预警、解读和挖掘，并提出解决方案
6.     辅助采购部门完成日常数据类工作；
 
 
能力要求：
1.     较强的逻辑思维，对数据较敏感；
2.     从事过互联网行业数据类工作，理解网站运营指标意义及反映的问题；
3.     具备优秀的信息整合和分析能力，善于归纳并形成具体清晰的业务观点；
4.     很强的内部沟通能力，可以协调产品、研发推进平台搭建，有项目管理经验优先；
5.     精通excel。sas/spss加分；
 
任职要求：
教育背景：统计相关专业优先
工作经验：具备电商数据类职位2年以上工作经验优先",8,10,9.0,电子商务,数据分析
数据分析,6k-8k,北京世纪多彩网络科技有限公司,"移动互联网,文化娱乐",50-150人,A轮,北京,经验1-3年,大专及以上,全职,"职位描述
        岗位职责：
1、负责产品数据分析工作，为产品调优、运营策略等提供数据支持； 2、监控日常运营状态，发现运营异常状况并分析原因；3、进行产品上线、市场推广和运营活动分析，评估相应效果，提供改善建议；4、对社区内行为，特征等进行专题分析，了解用户行为规律，指导运营和产品调整；5、产出高质量的分析报告，并组织跨部门协调沟通，推进各业务环节的改进和完善；6、处理其它日常数据统计和分析需求；
任职资格：
1、曾有过互联网社区产品数据分析工作2年以上经验的优先；2、对数据敏感，具有优秀的数据处理能力，具有优秀的学习能力；3、条理清晰，有良好的表达能力及沟通能力，对社区有深刻理解；4、热爱移动互联网产品，熟知行业动态；熟练数据统计软件。",6,8,7.0,移动互联网,数据分析
数据分析,8k-16k,流量海科技,"企业服务,数据服务",15-50人,天使轮,贵阳,经验3-5年,本科及以上,全职,"职位描述
        岗位职责：
1. 负责风险防控产品的需求管理，提供产品上线后的日常风险监测服务支持；
2. 参与产品的实施管理工作，能对用户的风险事件和问题进行有效的分析和判断；
3. 根据日常监测统计、汇总分析各类风险事项，总结风险特征，形成风险监测、风险预警的各类举措，并有效实施；
4. 主动学习数据分析与挖掘能力，参与对各行业的风险模型进行提炼、识别、建模和量化的研究工作。

任职要求：
1. 本科以上学历，有数据分析和挖掘相关工作经验2年以上；数学和计算机专业的优先。
2. 具有较好的数学建模和逻辑分析能力，至少熟悉使用R语言、SPSS、Matlab、SAS中的一种工具；
3. 具有较强的主动学习能力和文档组织能力，有良好的团队合作精神和强烈的工作责任心；
4. 有风险控制从业者或会使用各种风险评估工具者优先；
5. 有通信等行业经验者优先。",8,16,12.0,企业服务,数据分析
数据分析,10k-15k,上海教育软件,"移动互联网,信息安全",150-500人,不需要融资,上海,经验1-3年,大专及以上,全职,"职位描述
        1、参与业务数据报表需求分析，建立数据模板，周期性提供数据 2、通过对业务的深入了解和分析，为产品、运营提供强有力的数据支持 3、监视关键性业务指标，诊断产品运营中产品的各种问题和原因，并给出优化建议 4、根据对业务了解，能够独立承担复杂的分析任务，并对关键分析思路进行产品化 5、参与公司大数据产品建设，协助公司研发人员进行产品建设，提供数据分析功能模块的设计方案，并跟进行业发展实时更新数据分析模型

任职要求：1、具有各类数据挖掘建模经验，能够熟练使用SQL，Python , SAS/SPSS，Tableau，EXCEL等数据分析工具 2、有出色的数据处理、分析能力，对数据敏感，能够从日常数据中分析用户行为、深度挖掘用户需求并提出优化建议 3、良好的表达沟通能力（口头书面）与协调能力，工作积极、主动、热情，能参与用户部门数据分析需求的制定 4、有一定客户数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验等 5、熟悉数据库系统MySQL/MSSQL/Oracle 性能调优、数据操作尤佳 6、熟悉云计算平台环境、有云计算资源使用经验者尤佳",10,15,12.5,移动互联网,数据分析
数据分析,4k-8k,迅游科技,"移动互联网,游戏",150-500人,不需要融资,重庆,经验1-3年,学历不限,全职,"职位描述
        工作职责：
1、根据设计者需求，细化设计者制定的方案，撰写为执行专案;
2、负责游戏内模块制作跟进、与各部门沟通协调;
3、搜集并整理游戏相关内容的资料;
4、1年左右游戏策划经验，熟悉传奇类游戏优先.
任职要求：
1、根据设计者需求，细化设计者制定的方案，撰写为执行专案;
2、负责游戏内模块制作跟进、与各部门沟通协调;
3、搜集并整理游戏相关内容的资料;
4、1年左右游戏策划经验，熟悉传奇类游戏优先.",4,8,6.0,移动互联网,数据分析
数据分析,10k-20k,TCL互联网事业本部,移动互联网,150-500人,不需要融资,北京,经验3-5年,本科及以上,全职,"职位描述
        职位描述：
1.负责公司移动互联网产品的数据分析与后台展示；
2.能根据业务问题及场景，抽象数据平台需求并设计方案；
3.建立业务运营分析模型，对业务进行趋势预测以及风险分析，独立撰写相关报告；
4.收集公司各部门的数据，定期完成日、周、月、季报等数据报告工作； 
 
任职要求：
1.本科及以上学历，统计学、应用数学、计算机等专业优先； 
2.对游戏行业有一定的了解，互联网公司 3 年以上的工作经验；
3.能够熟练使用 excel、PPT 等办公工具，能够使用 SPSS 等统计分析工具优先； 
4.有海量数据分析经验，熟练使用 SQL 语言； 
5.了解数据挖掘常用算法，有数据建模实践经验优先； 6.工作积极主动，具有良好的沟通习惯及技巧，具有分享精神  ",10,20,15.0,移动互联网,数据分析
数据分析,4k-6k,比比网络,"电子商务,企业服务",150-500人,未融资,太原,经验1-3年,本科及以上,全职,"职位描述
        岗位职责
1.帮助行业研究员，提供数据处理支持；
2.协助产品经理设计数据应用模块，并完成相应的算法建模工作；
3.设计数据监控体系，监控数据，发现其中的规律与异常。
4.模型方法研究。

任职资格：
1.统计学、计算机、信息管理、情报学、数学等相关专业，本科以上；
2.熟练掌握一种以上分析工具，R使用者优先（SPSS、clementine、matlab、Eviews、SAS、R、Stata等）；
3.较强的逻辑思维与数据敏感度，较好文字及口头表达能力；
4.有过商用算法建模和优化经历、或掌握python者优先；
5.有过复杂网络计算相关研究经历优先；
6.有文本分析研究经历者优先；
7.数理统计模型、数据挖掘方法精通者优先。",4,6,5.0,电子商务,数据分析
数据分析,6k-12k,人人行(借贷宝),"移动互联网,金融",2000人以上,B轮,北京,经验1-3年,本科及以上,全职,"职位描述
        【岗位职责】1、 分析公司平台的数据，从业务出发，设计、规划常规的数据报告并进行分析。2、 利用大数据技术，用建模、数据挖掘的方法分析公司数据，为公司业务提供数据支持。3、 分析行业数据，与市场上的其他竞争对手的数据做对比，提供竞品分析。4、 协助完成数据分析工作的规划，设计数据来源，提出数据优化需求。5、 完成各种临时的数据分析任务。 【任职资格】1、本科以上学历，金融、经济、计算机、数学、统计等相关专业，背景综合者优先。2、有数学建模、编程、统计软件、数据库经验者优先；有数据挖掘能力、经验者优先。3、具备良好的逻辑分析能力，独立思考能力，对数据与业务有足够的敏感性。4、具有良好的沟通能力、团队合作精神，有较强的责任心与进取心。",6,12,9.0,移动互联网,数据分析
